step,tag,value
4,node_t002-nxcore_memory,3430940672.0
5,node_t002-nxcore_memory,1073741824.0
6,node_t002-nxcore_memory,3430940672.0
7,node_t002-nxcore_memory,1073741824.0
8,node_t002-nxcore_memory,3430940672.0
9,node_t002-nxcore_memory,1073741824.0
10,node_t002-nxcore_memory,3695181824.0
11,node_t002-nxcore_memory,1073741824.0
12,node_t002-nxcore_memory,3430940672.0
13,node_t002-nxcore_memory,1073741824.0
14,node_t002-nxcore_memory,3430940672.0
15,node_t002-nxcore_memory,1073741824.0
16,node_t002-nxcore_memory,3430940672.0
17,node_t002-nxcore_memory,1073741824.0
18,node_t002-nxcore_memory,3430940672.0
19,node_t002-nxcore_memory,1073741824.0
20,node_t002-nxcore_memory,3695181824.0
21,node_t002-nxcore_memory,1073741824.0
22,node_t002-nxcore_memory,3430940672.0
23,node_t002-nxcore_memory,1073741824.0
24,node_t002-nxcore_memory,3430940672.0
25,node_t002-nxcore_memory,1073741824.0
26,node_t002-nxcore_memory,3430940672.0
27,node_t002-nxcore_memory,1073741824.0
28,node_t002-nxcore_memory,3430940672.0
29,node_t002-nxcore_memory,1073741824.0
30,node_t002-nxcore_memory,3695181824.0
31,node_t002-nxcore_memory,1073741824.0
32,node_t002-nxcore_memory,3430940672.0
33,node_t002-nxcore_memory,1073741824.0
34,node_t002-nxcore_memory,3430940672.0
35,node_t002-nxcore_memory,1073741824.0
36,node_t002-nxcore_memory,3430940672.0
37,node_t002-nxcore_memory,1073741824.0
38,node_t002-nxcore_memory,3430940672.0
39,node_t002-nxcore_memory,1073741824.0
40,node_t002-nxcore_memory,3695181824.0
41,node_t002-nxcore_memory,1073741824.0
42,node_t002-nxcore_memory,3430940672.0
43,node_t002-nxcore_memory,1073741824.0
44,node_t002-nxcore_memory,3430940672.0
45,node_t002-nxcore_memory,1073741824.0
46,node_t002-nxcore_memory,3430940672.0
47,node_t002-nxcore_memory,1073741824.0
48,node_t002-nxcore_memory,3430940672.0
49,node_t002-nxcore_memory,1073741824.0
0,node_t002-nxcore_power,9.199999809265137
1,node_t002-nxcore_power,6.699999809265137
2,node_t002-nxcore_power,10.0
3,node_t002-nxcore_power,6.699999809265137
4,node_t002-nxcore_power,10.0
5,node_t002-nxcore_power,6.699999809265137
6,node_t002-nxcore_power,10.0
7,node_t002-nxcore_power,6.699999809265137
8,node_t002-nxcore_power,10.0
9,node_t002-nxcore_power,6.699999809265137
10,node_t002-nxcore_power,9.199999809265137
11,node_t002-nxcore_power,6.699999809265137
12,node_t002-nxcore_power,10.0
13,node_t002-nxcore_power,6.699999809265137
14,node_t002-nxcore_power,10.0
15,node_t002-nxcore_power,6.699999809265137
16,node_t002-nxcore_power,10.0
17,node_t002-nxcore_power,6.699999809265137
18,node_t002-nxcore_power,10.0
19,node_t002-nxcore_power,6.699999809265137
20,node_t002-nxcore_power,9.199999809265137
21,node_t002-nxcore_power,6.699999809265137
22,node_t002-nxcore_power,10.0
23,node_t002-nxcore_power,6.699999809265137
24,node_t002-nxcore_power,10.0
25,node_t002-nxcore_power,6.699999809265137
26,node_t002-nxcore_power,10.0
27,node_t002-nxcore_power,6.699999809265137
28,node_t002-nxcore_power,10.0
29,node_t002-nxcore_power,6.699999809265137
30,node_t002-nxcore_power,9.199999809265137
31,node_t002-nxcore_power,6.699999809265137
32,node_t002-nxcore_power,10.0
33,node_t002-nxcore_power,6.699999809265137
34,node_t002-nxcore_power,10.0
35,node_t002-nxcore_power,6.699999809265137
36,node_t002-nxcore_power,10.0
37,node_t002-nxcore_power,6.699999809265137
38,node_t002-nxcore_power,10.0
39,node_t002-nxcore_power,6.699999809265137
40,node_t002-nxcore_power,9.199999809265137
41,node_t002-nxcore_power,6.699999809265137
42,node_t002-nxcore_power,10.0
43,node_t002-nxcore_power,6.699999809265137
44,node_t002-nxcore_power,10.0
45,node_t002-nxcore_power,6.699999809265137
46,node_t002-nxcore_power,10.0
47,node_t002-nxcore_power,6.699999809265137
48,node_t002-nxcore_power,10.0
49,node_t002-nxcore_power,6.699999809265137
0,node_t002-nxcore_power_moving_average,9.199999809265137
1,node_t002-nxcore_power_moving_average,6.699999809265137
2,node_t002-nxcore_power_moving_average,10.0
3,node_t002-nxcore_power_moving_average,6.699999809265137
4,node_t002-nxcore_power_moving_average,10.0
5,node_t002-nxcore_power_moving_average,6.699999809265137
6,node_t002-nxcore_power_moving_average,10.0
7,node_t002-nxcore_power_moving_average,6.699999809265137
8,node_t002-nxcore_power_moving_average,10.0
9,node_t002-nxcore_power_moving_average,6.699999809265137
10,node_t002-nxcore_power_moving_average,9.199999809265137
11,node_t002-nxcore_power_moving_average,6.699999809265137
12,node_t002-nxcore_power_moving_average,10.0
13,node_t002-nxcore_power_moving_average,6.699999809265137
14,node_t002-nxcore_power_moving_average,10.0
15,node_t002-nxcore_power_moving_average,6.699999809265137
16,node_t002-nxcore_power_moving_average,10.0
17,node_t002-nxcore_power_moving_average,6.699999809265137
18,node_t002-nxcore_power_moving_average,10.0
19,node_t002-nxcore_power_moving_average,6.699999809265137
20,node_t002-nxcore_power_moving_average,9.199999809265137
21,node_t002-nxcore_power_moving_average,6.699999809265137
22,node_t002-nxcore_power_moving_average,10.0
23,node_t002-nxcore_power_moving_average,6.699999809265137
24,node_t002-nxcore_power_moving_average,10.0
25,node_t002-nxcore_power_moving_average,6.699999809265137
26,node_t002-nxcore_power_moving_average,10.0
27,node_t002-nxcore_power_moving_average,6.699999809265137
28,node_t002-nxcore_power_moving_average,10.0
29,node_t002-nxcore_power_moving_average,6.699999809265137
30,node_t002-nxcore_power_moving_average,9.199999809265137
31,node_t002-nxcore_power_moving_average,6.699999809265137
32,node_t002-nxcore_power_moving_average,10.0
33,node_t002-nxcore_power_moving_average,6.699999809265137
34,node_t002-nxcore_power_moving_average,10.0
35,node_t002-nxcore_power_moving_average,6.699999809265137
36,node_t002-nxcore_power_moving_average,10.0
37,node_t002-nxcore_power_moving_average,6.699999809265137
38,node_t002-nxcore_power_moving_average,10.0
39,node_t002-nxcore_power_moving_average,6.699999809265137
40,node_t002-nxcore_power_moving_average,9.199999809265137
41,node_t002-nxcore_power_moving_average,6.699999809265137
42,node_t002-nxcore_power_moving_average,10.0
43,node_t002-nxcore_power_moving_average,6.699999809265137
44,node_t002-nxcore_power_moving_average,10.0
45,node_t002-nxcore_power_moving_average,6.699999809265137
46,node_t002-nxcore_power_moving_average,10.0
47,node_t002-nxcore_power_moving_average,6.699999809265137
48,node_t002-nxcore_power_moving_average,10.0
49,node_t002-nxcore_power_moving_average,6.699999809265137
0,node_t002-nxcore_finished_workloads,2.0
1,node_t002-nxcore_finished_workloads,3.0
2,node_t002-nxcore_finished_workloads,5.0
3,node_t002-nxcore_finished_workloads,6.0
4,node_t002-nxcore_finished_workloads,8.0
5,node_t002-nxcore_finished_workloads,9.0
6,node_t002-nxcore_finished_workloads,11.0
7,node_t002-nxcore_finished_workloads,12.0
8,node_t002-nxcore_finished_workloads,14.0
9,node_t002-nxcore_finished_workloads,15.0
10,node_t002-nxcore_finished_workloads,17.0
11,node_t002-nxcore_finished_workloads,18.0
