step,tag,value
5,node_t002-nxcore_cpu,3000.0
6,node_t002-nxcore_cpu,2000.0
7,node_t002-nxcore_cpu,3000.0
8,node_t002-nxcore_cpu,2000.0
9,node_t002-nxcore_cpu,3000.0
10,node_t002-nxcore_cpu,2000.0
11,node_t002-nxcore_cpu,3000.0
12,node_t002-nxcore_cpu,2000.0
13,node_t002-nxcore_cpu,3000.0
14,node_t002-nxcore_cpu,2000.0
15,node_t002-nxcore_cpu,3000.0
16,node_t002-nxcore_cpu,2000.0
17,node_t002-nxcore_cpu,3000.0
18,node_t002-nxcore_cpu,2000.0
19,node_t002-nxcore_cpu,3000.0
20,node_t002-nxcore_cpu,2000.0
21,node_t002-nxcore_cpu,3000.0
22,node_t002-nxcore_cpu,2000.0
23,node_t002-nxcore_cpu,3000.0
24,node_t002-nxcore_cpu,2000.0
25,node_t002-nxcore_cpu,3000.0
26,node_t002-nxcore_cpu,2000.0
27,node_t002-nxcore_cpu,3000.0
28,node_t002-nxcore_cpu,2000.0
29,node_t002-nxcore_cpu,3000.0
30,node_t002-nxcore_cpu,2000.0
31,node_t002-nxcore_cpu,3000.0
32,node_t002-nxcore_cpu,2000.0
33,node_t002-nxcore_cpu,3000.0
34,node_t002-nxcore_cpu,2000.0
35,node_t002-nxcore_cpu,3000.0
36,node_t002-nxcore_cpu,2000.0
37,node_t002-nxcore_cpu,3000.0
38,node_t002-nxcore_cpu,2000.0
39,node_t002-nxcore_cpu,3000.0
40,node_t002-nxcore_cpu,2000.0
41,node_t002-nxcore_cpu,3000.0
42,node_t002-nxcore_cpu,2000.0
43,node_t002-nxcore_cpu,3000.0
44,node_t002-nxcore_cpu,2000.0
45,node_t002-nxcore_cpu,3000.0
46,node_t002-nxcore_cpu,2000.0
47,node_t002-nxcore_cpu,3000.0
48,node_t002-nxcore_cpu,2000.0
49,node_t002-nxcore_cpu,3000.0
0,node_t002-nxcore_memory,0.0
1,node_t002-nxcore_memory,4294967296.0
2,node_t002-nxcore_memory,1283457024.0
3,node_t002-nxcore_memory,4294967296.0
4,node_t002-nxcore_memory,1283457024.0
5,node_t002-nxcore_memory,4294967296.0
6,node_t002-nxcore_memory,1283457024.0
7,node_t002-nxcore_memory,4294967296.0
8,node_t002-nxcore_memory,1283457024.0
9,node_t002-nxcore_memory,4294967296.0
10,node_t002-nxcore_memory,1283457024.0
11,node_t002-nxcore_memory,4294967296.0
12,node_t002-nxcore_memory,1283457024.0
13,node_t002-nxcore_memory,4294967296.0
14,node_t002-nxcore_memory,1283457024.0
15,node_t002-nxcore_memory,4294967296.0
16,node_t002-nxcore_memory,1283457024.0
17,node_t002-nxcore_memory,4294967296.0
18,node_t002-nxcore_memory,1283457024.0
19,node_t002-nxcore_memory,4294967296.0
20,node_t002-nxcore_memory,1283457024.0
21,node_t002-nxcore_memory,4294967296.0
22,node_t002-nxcore_memory,1283457024.0
23,node_t002-nxcore_memory,4294967296.0
24,node_t002-nxcore_memory,1283457024.0
25,node_t002-nxcore_memory,4294967296.0
26,node_t002-nxcore_memory,1283457024.0
27,node_t002-nxcore_memory,4294967296.0
28,node_t002-nxcore_memory,1283457024.0
29,node_t002-nxcore_memory,4294967296.0
30,node_t002-nxcore_memory,1283457024.0
31,node_t002-nxcore_memory,4294967296.0
32,node_t002-nxcore_memory,1283457024.0
33,node_t002-nxcore_memory,4294967296.0
34,node_t002-nxcore_memory,1283457024.0
35,node_t002-nxcore_memory,4294967296.0
36,node_t002-nxcore_memory,1283457024.0
37,node_t002-nxcore_memory,4294967296.0
38,node_t002-nxcore_memory,1283457024.0
39,node_t002-nxcore_memory,4294967296.0
